"         and set net income for those on benefits at this measure to prevent poverty.","504"
"         and the use of emission-free vehicles.","501"
"        A Nuclear Free Aotearoa.","105"
"        Adjust superannuation entitlements for those groups who currently experience lower life expectancy.","504"
"        and a report shall be produced on the outcomes achieved across the social policy sector with the funds allocated for tangata whenua.","705"
"        Build an evidence base on iwi, hapu, marae and Maori development.","303"
"        Cultural competence will be an employment standard in justice, health, education, and social services.","607"
"        Develop policy to address the cultural misappropriation of indigenous names and symbols.","607"
"        devolving greater power to local authorities to reduce venues;","301"
"        Economy: we want to work together to make the nation great again","601"
"        ensuring a focus on family friendly practices.","603"
"        Establishment of a Maori Education Authority.","607"
"        Explore other forms of compensation, including joint-ventures that provide long-term security.","705"
"        Food should be exempt from GST on the grounds that GST hits low-income people disproportionately.","503"
"        Hinengaro - the mind","506"
"        Implement recommendations of Rating Review: Establish a basis for valuing Maori land for rating purposes with strategies that recognise the cultural context of Maori land,","607"
"        Implement recommendations of Rating Review: Establish a basis for valuing Maori land for rating purposes with strategies that recognise the cultural context of Maori land, the objectives of Te Ture Whenua Maori Act 1993 and the inappropriateness of valuations for rating purposes being based on the 'market value' of Maori land.","607"
"        Improved access to technology (smoke alarms, video phones, texting and signing on mobile phones) will be explored.","504"
"        Improved public transport","411"
"        Incentivise small businesses to grow, by reducing unnecessary compliance costs.","402"
"        including extending the 'in-work' payment to all families.","504"
"        Investigate the reintroduction of a Universal Child Benefit;","504"
"        investigating new technologies such as player tracking and pre-commit card;","603"
"        Investing in regional research and development programmes that will forecast the long term opportunities and skills required to increase productivity and economic growth.","404"
"        Literacy and numeracy services to parents trying to teach children to read, write and count.","506"
"        Maintain kotahitanga in and between iwi and hapu as well as with the Crown by promoting kanohi-ki-te-kanohi discussions.","607"
"        Mana ake - the unique identity of the family and individual","201"
"        Maori participation in the labour market;","705"
"        Maori privately and collectively owned business growth;","705"
"        Maori skills and qualifications;","705"
"        Mauri - the life force","603"
"        Mobile literacy and numeracy services that can reach children, parents and whanau in rural areas.","506"
"        Monitor state sector progress and contribution to improving the status of tangata whenua.","705"
"        Moratorium on 1080 drops.","501"
"        Multiply owned land - Introduce proposals to enable leasehold titles to be commercially bankable.","412"
"        No tax on the first $25,000 earned.","401"
"        Primary and secondary schools will be required to teach heritage studies,","506"
"        Promote Chief-to-Chief negotiation.","607"
"        Public health programmes to reduce the high incidence and cost of type two diabetes and heart disease will be funded.","504"
"        Raise core benefit levels, including superannuation, veteran's pensions.","504"
"        Request the Parliamentary Commissioner for the Environment to urgently convene cross-party discussions to assess the impact of peak-oil production on Aotearoa.","404"
"        Require robust and accountable work practices by local government and regional authorities when working with mana whenua;","607"
"        Resource mobile dental units such as buses to get to rural, poor communities with a focus on whanau dental needs;","504"
"        Review claimant funding: uneven and inequitable funding creates barriers to full and final settlement.","503"
"        Student loans will remain interest free.","506"
"        Te Tiriti o Waitangi: we want to face our past with courage, so we can build our future together.","606"
"        The 'enrolment schemes' need to be reviewed to ensure children from low-income whanau and families are not disadvantaged.","503"
"        The public needs to be provided with better information on school performance, including Maori and Pacific achievement.","506"
"        There will be a five year grace period for repayments after graduation.","506"
"        Third party financial institutions prepared to invest in multiply owned land will be sourced, nationally and internationally.","408"
"        Tinana - physical wellbeing","502"
"        To ensure that all people have the chance to pursue tertiary education, we will introduce a fee reduction policy to reduce fees to a nominal level over time.","506"
"        to establish effective strategies for engaging Maori communities and advancing Maori representation, eg STV, a Maori constituency.","607"
"        To feed their minds,","506"
"        Waiora - total wellbeing for the family and individual","603"
"        Wairuatanga - spirituality","603"
"        We advocate for a 5% reduction in the business tax (down from 30% to 25%) for all businesses with a net income of less than $100,000.","402"
"        We also believe that the exclusion of play centres and kohanga reo is unfair and improper,","503"
"        We also believe the TeachNZ scholarship needs to be reviewed to ensure no students are disadvantaged.","503"
"        We also support the development of sustainable building practices","416"
"        We also want a GE Free Aotearoa.","501"
"        We believe in compulsory and free early childhood education from four years of age.","506"
"        We promote the appropriate development of renewable energy resources, including geothermal and hydro, wave, wind and solar, in order to protect and preserve limited resources such as oil, gas and coal.","416"
"        We support a single, national qualifications system.","506"
"        We support organic food production","501"
"        We support the Department of Conservation in working with local hapu and iwi to transfer the kaitiakitanga role back to tangata whenua.","607"
"        We support the Early Family Support System triggered by the first identification of disability, being universally available to families.","504"
"        We support the establishment of an appropriately funded lead agency for disability issues.","504"
"        We support whanau focused alcohol and drug, addiction, recovery and restoration services; including within prisons.","504"
"        We want to achieve safe staffing  through minimum staffing levels.","504"
"        We will also ensure Rongoa Maori services are accessible.","504"
"        We will also increase access to student allowances, by reintroducing a universal student allowance - which will be set at the level of the unemployment benefit.","506"
"        We will call for a review of Kiwisaver and its implications for the equity and fairness of retirement income policy.","503"
"        We will designate an official poverty line at 60 percent of the median household disposable income after housing costs","503"
"        We will empower communities, whanau and hapu to develop responses to issues impacting on them; by trusting them and resourcing them.","301"
"        We will establish incentives that reward school success and innovation in reducing under-achievement and disengagement.","506"
"        We will hold employers accountable for preventable workplace related deaths and injury.","701"
"        We will increase minimum wage to at least $15 an hour.","701"
"        We will increase the supply of quality early childhood care and education services in low-income areas.","506"
"        We will initiate a Maori Electoral Participation project, including:","202"
"        We will introduce a Private Members Bill to entrench section 45 of the Electoral Act","607"
"        We will invest in trade training and apprenticeships, developed and delivered in conjunction with key industry sectors, to upskill workers and address skill shortages, and to better enable industries to take advantage of skills training.","411"
"        We will involve independent facilitators","303"
"        We will make the Government more accountable and transparent through the unbundling of public money spent on tangata whenua;","303"
"        We will promote participation in, and increase numbers of Maori language teachers","506"
"        We will promote whanau engagement by investing in communities and innovation.","506"
"        We will reduce teacher-student ratios.","506"
"        We will resource more services for tangata whaiora in the community sector,","504"
"        We will resource respite care and wraparound services for disabled persons","504"
"        We will review compliance requirements so that there is no increase in compliance costs.","303"
"        We will review income support to ensure full participation in family and community life in order that people with disabilities have better access to supported independent living.","504"
"        We will review the National Vision Hearing Screening Programme service specifications to ensure universal coverage is achieved.","503"
"        We will review the work conditions, pay and training opportunities for those working in the elderly, disability and home care sector;","701"
"        We will set a deadline to eliminate child poverty by 2020;","503"
"        We will simplify employment legislation,","303"
"        We will sponsor single parents and low-income people to train for the workforce.","506"
"        We will support business development incentives (eg MWDI) to invest in success.","402"
"        We will support professional development for teachers,","506"
"        We will support rangatahi wellbeing programmes.","504"
"        Whanau - the family","603"
"        Whanau ora: we want to invest in our children and their children yet to come.","706"
"        Whanaungatanga - extended family","603"
"        Whatumanawa - the open and healthy expression of emotion","201"
"        Whenua -reconnection to the land","703"
"        which will include a history of the Pacific, in line with the aspirations of Pacific people.","506"
"      Current provision is uneven and inequitable.","506"
"   (National doesn't talk about closing that gap much anymore, because they know they don't have a plan to close it. ","305"
"   Amended the Gambling Regulations 2004 so a greater proportion of money from noncasino pokies machines can be distributed to community groups.","606.1"
"   As a result, New Zealanders leave in ever-increasing numbers; nearly 300,000 over the last decade.","601"
"   Figures released by Statistics New Zealand  shows National's policies are working.  In August 2011:","305"
"   Mitigate the impact of emissions pricing on low and modest income consumers  by developing options for affordable and sustainable energy services for householders.","503"
"   Na Ta Hemi Henare","607"
"   Once, we were one of the richest countries in the world.","410"
"   When National came to power, the gap was 35%; now it's closer to 40%.","410"
"  (Investment in environmentally sustainable housing is of particular interest as it is more labour-intensive, having the potential to create greater levels of employment)","701"
"  100,000 B4 School Checks  completed  to ensure children are ready, and healthy, to  start school.","504"
"  A  policy  protecting  these  objectives,  however,  must  balance  economic  development  and  private  property rights  in  the  short  run  with  conservation  goals  over the  long  run.","501"
"  A $5000 tax-free threshold.","414"
"  A key role of the Commission would be to oversee the recommendations of the Waitangi Tribunal and the negotiations of the Office of Treaty Settlements to better protect the rights of iwi claimants.","201"
"  A suite of policy changes is needed to ensure claims lodged under the Treaty of Waitangi Act 1975 are settled more justly.","503"
"  Abolish zoning to allow free choice of schools","506"
"  Absent  reforms,  these  two  programs  are  headed  for  bankruptcy that  will  endanger  care  for  seniors  and  the  poor.   ","504"
"  Action Section 33 of the RMA which allows local authorities to hand over functions, powers and duties to iwi.","607"
"  after their corrupt rulers are forced from power and brought to account for their crimes against humanity.","201.2"
"  after their corrupt rulers are forced from power and brought to account for their crimes against humanity.","201.2"
"  Alas, there are no easy ways to eliminate them, not at least if keeping inflation under control is also an objective. ","414"
"  All  efforts  should  be made  to  make  federal  lands  managed  by  the  U.S.  Forest  Service  available  for  harvesting.","410"
"  All Te Reo Maori initiatives have struggled to achieve their goals because of the heavy cultural and financial limitations forced on them by the government agencies they report to.","607"
"  All too often people coming to Work and Income are treated with disregard and contempt.","701"
"  all with little to no success in the actual recovery of species.","501"
"  all with little to no success in the actual recovery of species.","501"
"  Allow the funding to follow the child introduce flexible funding so parents can use it on the school of their choice, public or private","506"
"  Also,  public  access  to  public  lands  for recreational  activities  such  as  hunting,  fishing,  and recreational  shooting  should  be  permitted  on  all  appropriate  federal  lands.   ","502"
"  Alternative  forms of  energy  are  part  of  our  action  agenda  to  power  the homes  and  workplaces  of  the  nation.  ","416"
"  An adequate level of housing,","503"
"  An important  factor  is  full  transparency  in  development  of  the data  and  modeling  that  drive regulations.  ","303"
"  and allow choice between recognised NZ and international qualifications","506"
"  And as a result our debt to the rest of the world gets bigger, year by year not yet at Greek or Spanish levels, but damned uncomfortable just the same.","414"
"  And by that we don't simply mean a reduction in the number of bureaucrats, though that would no doubt be part of it.","303"
"  and by the current President of the United States","305.1"
"  and by the current President of the United States","305.1"
"  and deter re-offending","605"
"  and even bring jobs back from overseas.","701"
"  And for those who still live in New Zealand but feel deeply torn between what this country has to offer and the much higher living standard which, for the foreseeable future, they could enjoy abroad.","410"
"  And Friday's cup of tea shows clearly that John Key knows that.","305"
"  and imperiled seniors  ","503"
"  and imperiled seniors  ","503"
"  And Maori get much fewer qualifications than non Maori whatever the neighbourhood, rich or poor.","503"
"  and only then on traffic tickets and unintended wrongs","201"
"  and strength meant American military superiority.","104"
"  and strength meant American military superiority.","104"
"  and that the people, not the government, are the best stewards of our country's God-given natural resources.","202.1"
"  and that the people, not the government, are the best stewards of our country's God-given natural resources.","202.1"
"  And we actually mean it!","305"
"  And we delivered a national transport concessions scheme to give State Seniors Card holders concessions when they travel interstate.","706"
"  And we mean tested in court: we don't regard negotiating such claims with a minister, within an intensely political environment where Parliamentary votes are at stake, as at all a substitute.","201"
"  And yet there are a number of spending programmes which National criticised strongly when in Opposition but which remain untouched  ","414"
"  Are encouraging  renewable energy  and  tree planting,","416"
"  As  in  past  generations,  we  should  encourage  the  world's  innovators and  inventors  to  create  our  common  future  and  their permanent  homes  here  in  the  United  States.","411"
"  As a result of our initiative, students are no longer obliged to join a union.","702"
"  As a result of our initiative, the 2025 Taskforce was set up, and the National Party committed to promoting policies which would close the income gap with Australia by 2025.","410"
"  As a result of our initiative, the Productivity Commission was set up.","410"
"  As part of this commitment, the Labor Government has released, for final consultation, Australia's first national curriculum.","506"
"  As with tobacco, the idea is to target alcohol companies to reduce the harmful effects of alcohol consumption.","603"
"  Assistance  should  be  seen  as  an alternative  means  of  keeping  the  peace,  far  less  costly in  both  dollars  and  human  lives  than  military  engagement.","106"
"  At the moment, government spending is a larger share of the total economy than in any year of the last Labour Government.","414"
"  Australian parents can now be confident their child is being taught from a world class curriculum regardless of the school they attend or their location.","506"
"  because a healthy childhood sets the course for a healthy life.","601.1"
"  Because we are a party which believes in the rule of law, and in particular the right of all New Zealanders to have access to the courts, we also believe that those who think they have a customary right to certain parts of the foreshore should be allowed to have their claims tested in court.","201"
"  Borrowing billions more to invest in the NZ Super Fund.","414"
"  But far too many young people are coming out of 10 or 12 years of school barely literate. ","506"
"  But in practice it's all too common for the police to charge people who defend themselves in other words, for the police to treat victims as criminals.","201"
"  but we will also ensure that the government works to alleviate child poverty,","503"
"  but with major changes.","601.2"
"  but with major changes.","601.2"
"  By  the  same token,  the  most  economically advanced  countries those  that respect  and  protect  private  property  rightslso  have the  strongest  environmental  protections,","401"
"  By 1984, New Zealand was on the verge of bankruptcy.","414"
"  Couples like Adrian and Jules Paalvast, with three New Zealand-born sons longing to return to New Zealand, but feeling unable to do so because Adrian makes three times the salary in Australia that he could make in New Zealand, thus enabling Jules to stay home with her four children.","410"
"  deserve our gratitude and support.","603"
"  deserve our gratitude and support.","603"
"  End concurrent sentencing","605"
"  End pointless family group conferences,","605"
"  Ensure life means life for first-degree murder","605"
"  Ensure police officers focus first on thieves on thugs,","605"
